file_date,Country_Region,continent_name,total_confirmed,population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-02-05T00:00:00+01:00@Europe/Zurich,Cabo Verde,Africa,14306,555988,2573.077116772304,2.5730771167723043
2021-02-05T00:00:00+01:00@Europe/Zurich,South Africa,Africa,1470516,59308690,2479.4275510047514,2.4794275510047514
2021-02-05T00:00:00+01:00@Europe/Zurich,Azerbaijan,Asia,230907,10139175,2277.3746384691062,2.277374638469106
2021-02-05T00:00:00+01:00@Europe/Zurich,Canada,North America,802530,37855702,2119.971252943612,2.119971252943612
2021-02-05T00:00:00+01:00@Europe/Zurich,Bahamas,North America,8256,393248,2099.4385222556757,2.0994385222556757
2021-02-05T00:00:00+01:00@Europe/Zurich,Dominican Republic,North America,220426,10847904,2031.9685719932625,2.0319685719932625
2021-02-05T00:00:00+01:00@Europe/Zurich,Bolivia,South America,225910,11673029,1935.3160178048047,1.9353160178048046
2021-02-05T00:00:00+01:00@Europe/Zurich,Paraguay,South America,136890,7132530,1919.2348297168046,1.9192348297168045
2021-02-05T00:00:00+01:00@Europe/Zurich,Tunisia,Africa,215112,11818618,1820.1112854311732,1.8201112854311732
2021-02-05T00:00:00+01:00@Europe/Zurich,Libya,Africa,122894,6871287,1788.5150190932206,1.7885150190932206
2021-02-05T00:00:00+01:00@Europe/Zurich,Iceland,Europe,6021,341250,1764.3956043956043,1.7643956043956042
2021-02-05T00:00:00+01:00@Europe/Zurich,Iran,Asia,1452380,83992953,1729.1688744411688,1.7291688744411688
2021-02-05T00:00:00+01:00@Europe/Zurich,Iraq,Asia,625756,40222503,1555.736101256553,1.555736101256553
2021-02-05T00:00:00+01:00@Europe/Zurich,Greece,Europe,162107,10423056,1555.2732327256035,1.5552732327256036
2021-02-05T00:00:00+01:00@Europe/Zurich,Honduras,North America,153253,9904608,1547.2899078893379,1.547289907889338
2021-02-05T00:00:00+01:00@Europe/Zurich,Mexico,North America,1912871,127792286,1496.8595209260127,1.4968595209260127
2021-02-05T00:00:00+01:00@Europe/Zurich,Suriname,South America,8619,586634,1469.229536644654,1.4692295366446542
2021-02-05T00:00:00+01:00@Europe/Zurich,Ecuador,South America,255412,17643060,1447.662707036081,1.447662707036081
2021-02-05T00:00:00+01:00@Europe/Zurich,Eswatini,Africa,16137,1160164,1390.9240417734045,1.3909240417734046
2021-02-05T00:00:00+01:00@Europe/Zurich,Namibia,Africa,34615,2540916,1362.303988010623,1.362303988010623
2021-02-05T00:00:00+01:00@Europe/Zurich,Seychelles,Africa,1289,98340,1310.7585926377874,1.3107585926377874
2021-02-05T00:00:00+01:00@Europe/Zurich,Kyrgyzstan,Asia,84920,6524191,1301.6173192967526,1.3016173192967526
2021-02-05T00:00:00+01:00@Europe/Zurich,Morocco,Africa,474379,36910558,1285.2122148898427,1.2852122148898426
2021-02-05T00:00:00+01:00@Europe/Zurich,Kazakhstan,Asia,240983,18776707,1283.4146051275127,1.2834146051275126
2021-02-05T00:00:00+01:00@Europe/Zurich,Uruguay,South America,44303,3473727,1275.3736836544726,1.2753736836544727
2021-02-05T00:00:00+01:00@Europe/Zurich,Norway,Europe,64483,5421242,1189.4506830722555,1.1894506830722553
2021-02-05T00:00:00+01:00@Europe/Zurich,Saudi Arabia,Asia,369575,34813867,1061.574113556532,1.061574113556532
2021-02-05T00:00:00+01:00@Europe/Zurich,Saint Vincent and the Grenadines,North America,1170,110947,1054.5575815479463,1.0545575815479462
2021-02-05T00:00:00+01:00@Europe/Zurich,Singapore,Asia,59649,5850343,1019.5812450654603,1.0195812450654602
2021-02-05T00:00:00+01:00@Europe/Zurich,Guyana,South America,7887,786559,1002.7219827120407,1.0027219827120408
2021-02-05T00:00:00+01:00@Europe/Zurich,Botswana,Africa,23503,2351625,999.4365598256524,0.9994365598256524
2021-02-05T00:00:00+01:00@Europe/Zurich,Nepal,Asia,271707,29136808,932.5215033849968,0.9325215033849967
2021-02-05T00:00:00+01:00@Europe/Zurich,Guatemala,North America,162295,17915567,905.8881586053069,0.9058881586053068
