file_date,continent_name,total_deaths,total_population,kpi_comfirmed_100000,kpi_comfirmed_100
2021-01-15T00:00:00+01:00@Europe/Zurich,North America,570427,585100234,4609.0624192093555,4.609062419209355
2021-01-15T00:00:00+01:00@Europe/Zurich,Europe,620013,750312325,3640.5855388287805,3.6405855388287804
2021-01-15T00:00:00+01:00@Europe/Zurich,South America,385382,430457607,3359.0255497564017,3.3590255497564017
2021-01-15T00:00:00+01:00@Europe/Zurich,Asia,354812,4563925207,480.35011543080265,0.48035011543080264
2021-01-15T00:00:00+01:00@Europe/Zurich,Africa,77646,1338826591,239.7658532911526,0.2397658532911526
2021-01-15T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.79845840651589,0.07479845840651589
2021-01-14T00:00:00+01:00@Europe/Zurich,North America,565239,585100234,4561.926392940051,4.561926392940052
2021-01-14T00:00:00+01:00@Europe/Zurich,Europe,614342,750312325,3607.770937256029,3.6077709372560287
2021-01-14T00:00:00+01:00@Europe/Zurich,South America,383325,430457607,3329.0525633573016,3.3290525633573016
2021-01-14T00:00:00+01:00@Europe/Zurich,Asia,353601,4563925207,478.54053275242467,0.4785405327524247
2021-01-14T00:00:00+01:00@Europe/Zurich,Africa,76741,1338826591,237.40744480029528,0.23740744480029527
2021-01-14T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.75155841065012,0.07475155841065012
2021-01-13T00:00:00+01:00@Europe/Zurich,North America,560017,585100234,4516.248236537194,4.516248236537194
2021-01-13T00:00:00+01:00@Europe/Zurich,Europe,608285,750312325,3573.4870808632927,3.5734870808632926
2021-01-13T00:00:00+01:00@Europe/Zurich,South America,381515,430457607,3303.6133567503666,3.3036133567503665
2021-01-13T00:00:00+01:00@Europe/Zurich,Asia,352436,4563925207,476.6440073696852,0.4766440073696852
2021-01-13T00:00:00+01:00@Europe/Zurich,Africa,75688,1338826591,234.85087771161545,0.23485087771161545
2021-01-13T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.68589841643805,0.07468589841643805
2021-01-12T00:00:00+01:00@Europe/Zurich,North America,554506,585100234,4471.47812967718,4.4714781296771795
2021-01-12T00:00:00+01:00@Europe/Zurich,Europe,601873,750312325,3538.459534167988,3.5384595341679876
2021-01-12T00:00:00+01:00@Europe/Zurich,South America,379579,430457607,3279.951793255218,3.279951793255218
2021-01-12T00:00:00+01:00@Europe/Zurich,Asia,351110,4563925207,474.73909008781004,0.47473909008781
2021-01-12T00:00:00+01:00@Europe/Zurich,Africa,74468,1338826591,232.31156453778559,0.2323115645377856
2021-01-12T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.6343084209857,0.07463430842098571
2021-01-11T00:00:00+01:00@Europe/Zurich,North America,548411,585100234,4427.487718283839,4.427487718283839
2021-01-11T00:00:00+01:00@Europe/Zurich,Europe,594923,750312325,3506.84643225073,3.50684643225073
2021-01-11T00:00:00+01:00@Europe/Zurich,South America,377789,430457607,3256.1573479174226,3.2561573479174224
2021-01-11T00:00:00+01:00@Europe/Zurich,Asia,349692,4563925207,472.94280736445904,0.47294280736445904
2021-01-11T00:00:00+01:00@Europe/Zurich,Africa,73392,1338826591,230.36000485293619,0.23036000485293617
2021-01-11T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.57333842636022,0.07457333842636023
2021-01-10T00:00:00+01:00@Europe/Zurich,North America,545499,585100234,4386.967823362723,4.386967823362723
2021-01-10T00:00:00+01:00@Europe/Zurich,Europe,590645,750312325,3478.48877465794,3.4784887746579405
2021-01-10T00:00:00+01:00@Europe/Zurich,South America,376431,430457607,3240.757457446907,3.240757457446907
2021-01-10T00:00:00+01:00@Europe/Zurich,Asia,348695,4563925207,471.313157520813,0.471313157520813
2021-01-10T00:00:00+01:00@Europe/Zurich,Africa,72711,1338826591,228.26615638977847,0.22826615638977849
2021-01-10T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.50767843214814,0.07450767843214814
2021-01-09T00:00:00+01:00@Europe/Zurich,North America,542978,585100234,4346.540733053271,4.346540733053271
2021-01-09T00:00:00+01:00@Europe/Zurich,Europe,587511,750312325,3454.1077277385784,3.4541077277385783
2021-01-09T00:00:00+01:00@Europe/Zurich,South America,375441,430457607,3226.4501252036184,3.2264501252036184
2021-01-09T00:00:00+01:00@Europe/Zurich,Asia,347762,4563925207,469.63745083125764,0.4696374508312577
2021-01-09T00:00:00+01:00@Europe/Zurich,Africa,72117,1338826591,225.90535774621466,0.22590535774621467
2021-01-09T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.45608843669581,0.07445608843669581
2021-01-08T00:00:00+01:00@Europe/Zurich,North America,538348,585100234,4295.991103637125,4.2959911036371246
2021-01-08T00:00:00+01:00@Europe/Zurich,Europe,583184,750312325,3423.7580996686943,3.4237580996686945
2021-01-08T00:00:00+01:00@Europe/Zurich,South America,373646,430457607,3203.524290372223,3.203524290372223
2021-01-08T00:00:00+01:00@Europe/Zurich,Asia,346457,4563925207,467.337654159765,0.467337654159765
2021-01-08T00:00:00+01:00@Europe/Zurich,Africa,71460,1338826591,223.28373368855503,0.22328373368855503
2021-01-08T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.35290844579112,0.07435290844579112
2021-01-07T00:00:00+01:00@Europe/Zurich,North America,532968,585100234,4240.587946850829,4.240587946850829
2021-01-07T00:00:00+01:00@Europe/Zurich,Europe,576784,750312325,3384.2600146545637,3.3842600146545636
2021-01-07T00:00:00+01:00@Europe/Zurich,South America,371919,430457607,3180.963648297194,3.1809636482971944
2021-01-07T00:00:00+01:00@Europe/Zurich,Asia,345510,4563925207,465.86017595971526,0.46586017595971524
2021-01-07T00:00:00+01:00@Europe/Zurich,Africa,70550,1338826591,220.5594824490605,0.2205594824490605
2021-01-07T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.29897345054549,0.0742989734505455
2021-01-06T00:00:00+01:00@Europe/Zurich,North America,527696,585100234,4188.045325580915,4.188045325580916
2021-01-06T00:00:00+01:00@Europe/Zurich,Europe,571455,750312325,3344.377689650773,3.344377689650773
2021-01-06T00:00:00+01:00@Europe/Zurich,South America,369744,430457607,3151.147471764856,3.1511474717648564
2021-01-06T00:00:00+01:00@Europe/Zurich,Asia,344367,4563925207,463.94033731149176,0.46394033731149176
2021-01-06T00:00:00+01:00@Europe/Zurich,Africa,69861,1338826591,217.9152266329613,0.2179152266329613
2021-01-06T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,74.24034845571327,0.07424034845571328
2021-01-05T00:00:00+01:00@Europe/Zurich,North America,522368,585100234,4139.35178839802,4.13935178839802
2021-01-05T00:00:00+01:00@Europe/Zurich,Europe,565913,750312325,3308.447052365827,3.308447052365827
2021-01-05T00:00:00+01:00@Europe/Zurich,South America,367778,430457607,3127.039174382624,3.127039174382624
