file_date,continent_name,total_deaths,total_population,kpi_deaths_100000,kpi_deaths_100
2021-01-24T00:00:00+01:00@Europe/Zurich,Europe,666718,750312325,88.85872959637176,0.08885872959637175
2021-01-24T00:00:00+01:00@Europe/Zurich,Asia,364954,4563925207,7.996493882946317,0.007996493882946317
2021-01-24T00:00:00+01:00@Europe/Zurich,Africa,85184,1338826591,6.3625865046775125,0.006362586504677512
2021-01-24T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-23T00:00:00+01:00@Europe/Zurich,North America,607630,585100234,103.85058229185394,0.10385058229185394
2021-01-23T00:00:00+01:00@Europe/Zurich,South America,400249,430457607,92.98221090561422,0.09298221090561422
2021-01-23T00:00:00+01:00@Europe/Zurich,Europe,663574,750312325,88.43970409255905,0.08843970409255907
2021-01-23T00:00:00+01:00@Europe/Zurich,Asia,364009,4563925207,7.975788022154588,0.007975788022154588
2021-01-23T00:00:00+01:00@Europe/Zurich,Africa,84537,1338826591,6.3142606046431595,0.00631426060464316
2021-01-23T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-22T00:00:00+01:00@Europe/Zurich,North America,602595,585100234,102.99004597560972,0.10299004597560972
2021-01-22T00:00:00+01:00@Europe/Zurich,South America,398300,430457607,92.52943693477346,0.09252943693477346
2021-01-22T00:00:00+01:00@Europe/Zurich,Europe,659110,750312325,87.8447518505044,0.08784475185050439
2021-01-22T00:00:00+01:00@Europe/Zurich,Asia,362961,4563925207,7.952825332091381,0.00795282533209138
2021-01-22T00:00:00+01:00@Europe/Zurich,Africa,83755,1338826591,6.2558512478783,0.006255851247878299
2021-01-22T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-21T00:00:00+01:00@Europe/Zurich,North America,597087,585100234,102.04866880979577,0.10204866880979577
2021-01-21T00:00:00+01:00@Europe/Zurich,South America,396141,430457607,92.02787767205146,0.09202787767205146
2021-01-21T00:00:00+01:00@Europe/Zurich,Europe,652867,750312325,87.01269834531907,0.08701269834531906
2021-01-21T00:00:00+01:00@Europe/Zurich,Asia,361911,4563925207,7.929818820100572,0.007929818820100572
2021-01-21T00:00:00+01:00@Europe/Zurich,Africa,82781,1338826591,6.183100974874497,0.006183100974874497
2021-01-21T00:00:00+01:00@Europe/Zurich,Oceania,945,42757742,2.21012606325189,0.00221012606325189
2021-01-20T00:00:00+01:00@Europe/Zurich,North America,590805,585100234,100.97500661741317,0.10097500661741317
2021-01-20T00:00:00+01:00@Europe/Zurich,South America,394008,430457607,91.53235849308618,0.09153235849308618
2021-01-20T00:00:00+01:00@Europe/Zurich,Europe,646769,750312325,86.19997012577396,0.08619997012577396
2021-01-20T00:00:00+01:00@Europe/Zurich,Asia,360663,4563925207,7.902473937277211,0.00790247393727721
2021-01-20T00:00:00+01:00@Europe/Zurich,Africa,81756,1338826591,6.106541395994727,0.006106541395994727
2021-01-20T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-19T00:00:00+01:00@Europe/Zurich,North America,584562,585100234,99.90800994962514,0.09990800994962513
2021-01-19T00:00:00+01:00@Europe/Zurich,South America,391703,430457607,90.99688183696101,0.090996881836961
2021-01-19T00:00:00+01:00@Europe/Zurich,Europe,639876,750312325,85.28128602978767,0.08528128602978767
2021-01-19T00:00:00+01:00@Europe/Zurich,Asia,359412,4563925207,7.875063321562447,0.007875063321562447
2021-01-19T00:00:00+01:00@Europe/Zurich,Africa,80834,1338826591,6.03767512113897,0.0060376751211389705
2021-01-19T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-18T00:00:00+01:00@Europe/Zurich,North America,579908,585100234,99.112590681343,0.099112590681343
2021-01-18T00:00:00+01:00@Europe/Zurich,South America,389718,430457607,90.53574467322632,0.09053574467322632
2021-01-18T00:00:00+01:00@Europe/Zurich,Europe,632054,750312325,84.23878682787198,0.08423878682787198
2021-01-18T00:00:00+01:00@Europe/Zurich,Asia,357973,4563925207,7.843533444653138,0.007843533444653139
2021-01-18T00:00:00+01:00@Europe/Zurich,Africa,79632,1338826591,5.947895010101424,0.005947895010101424
2021-01-18T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-17T00:00:00+01:00@Europe/Zurich,North America,577685,585100234,98.732655779454,0.09873265577945402
2021-01-17T00:00:00+01:00@Europe/Zurich,South America,388320,430457607,90.21097401584542,0.09021097401584542
2021-01-17T00:00:00+01:00@Europe/Zurich,Europe,628176,750312325,83.7219353953702,0.08372193539537019
2021-01-17T00:00:00+01:00@Europe/Zurich,Asia,356898,4563925207,7.819979158567311,0.007819979158567312
2021-01-17T00:00:00+01:00@Europe/Zurich,Africa,78907,1338826591,5.893743112845,0.005893743112845
2021-01-17T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-16T00:00:00+01:00@Europe/Zurich,North America,575233,585100234,98.313582284433,0.098313582284433
2021-01-16T00:00:00+01:00@Europe/Zurich,South America,387053,430457607,89.91663608816187,0.08991663608816187
2021-01-16T00:00:00+01:00@Europe/Zurich,Europe,624767,750312325,83.2675912660771,0.0832675912660771
2021-01-16T00:00:00+01:00@Europe/Zurich,Asia,355925,4563925207,7.798659790789161,0.007798659790789161
2021-01-16T00:00:00+01:00@Europe/Zurich,Africa,78309,1338826591,5.84907713414246,0.00584907713414246
2021-01-16T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-15T00:00:00+01:00@Europe/Zurich,North America,570427,585100234,97.49218456132083,0.09749218456132083
2021-01-15T00:00:00+01:00@Europe/Zurich,South America,385382,430457607,89.52844455133534,0.08952844455133534
2021-01-15T00:00:00+01:00@Europe/Zurich,Europe,620013,750312325,82.633988452742,0.082633988452742
2021-01-15T00:00:00+01:00@Europe/Zurich,Asia,354812,4563925207,7.7742728880789045,0.007774272888078904
2021-01-15T00:00:00+01:00@Europe/Zurich,Africa,77646,1338826591,5.7995561577548616,0.005799556157754862
2021-01-15T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-14T00:00:00+01:00@Europe/Zurich,North America,565239,585100234,96.60549887935953,0.09660549887935953
2021-01-14T00:00:00+01:00@Europe/Zurich,South America,383325,430457607,89.0505810018128,0.0890505810018128
2021-01-14T00:00:00+01:00@Europe/Zurich,Europe,614342,750312325,81.87816986746154,0.08187816986746153
2021-01-14T00:00:00+01:00@Europe/Zurich,Asia,353601,4563925207,7.747738710916172,0.007747738710916172
2021-01-14T00:00:00+01:00@Europe/Zurich,Africa,76741,1338826591,5.73195965152443,0.00573195965152443
2021-01-14T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-13T00:00:00+01:00@Europe/Zurich,North America,560017,585100234,95.71300222723889,0.0957130022272389
2021-01-13T00:00:00+01:00@Europe/Zurich,South America,381515,430457607,88.63009824797915,0.08863009824797916
2021-01-13T00:00:00+01:00@Europe/Zurich,Europe,608285,750312325,81.07090603902849,0.08107090603902849
2021-01-13T00:00:00+01:00@Europe/Zurich,Asia,352436,4563925207,7.722212438088274,0.007722212438088274
2021-01-13T00:00:00+01:00@Europe/Zurich,Africa,75688,1338826591,5.6533086890264785,0.005653308689026479
2021-01-13T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-12T00:00:00+01:00@Europe/Zurich,North America,554506,585100234,94.77111232876383,0.09477111232876383
2021-01-12T00:00:00+01:00@Europe/Zurich,South America,379579,430457607,88.18034431901677,0.08818034431901677
2021-01-12T00:00:00+01:00@Europe/Zurich,Europe,601873,750312325,80.2163285802349,0.0802163285802349
2021-01-12T00:00:00+01:00@Europe/Zurich,Asia,351110,4563925207,7.693158500088453,0.007693158500088453
2021-01-12T00:00:00+01:00@Europe/Zurich,Africa,74468,1338826591,5.562184117091531,0.005562184117091531
2021-01-12T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-11T00:00:00+01:00@Europe/Zurich,North America,548411,585100234,93.72941047225765,0.09372941047225765
2021-01-11T00:00:00+01:00@Europe/Zurich,South America,377789,430457607,87.76450778345752,0.08776450778345751
2021-01-11T00:00:00+01:00@Europe/Zurich,Europe,594923,750312325,79.29004764782452,0.07929004764782452
2021-01-11T00:00:00+01:00@Europe/Zurich,Asia,349692,4563925207,7.66208875341896,0.00766208875341896
2021-01-11T00:00:00+01:00@Europe/Zurich,Africa,73392,1338826591,5.481815232335791,0.0054818152323357905
2021-01-11T00:00:00+01:00@Europe/Zurich,Oceania,945,42643927,2.216024804657413,0.002216024804657413
2021-01-10T00:00:00+01:00@Europe/Zurich,North America,545499,585100234,93.23171796919841,0.09323171796919842
2021-01-10T00:00:00+01:00@Europe/Zurich,South America,376431,430457607,87.44902956262543,0.08744902956262543
